Gorilla_GON_ACC.bam.out	Gorilla_Sakura_ACC.bam.out	Gorilla_GON_CB.bam.out	Gorilla_Sakura_CB.bam.out	Gorilla_GON_DPFC.bam.out	Gorilla_Sakura_DPFC.bam.out	Gorilla_GON_HIP.bam.out	Gorilla_Sakura_HIP.bam.out	Gorilla_GON_PMC.bam.out	Gorilla_Sakura_PMC.bam.out	Gorilla_GON_STR.bam.out	Gorilla_Sakura_STR.bam.out	Gorilla_GON_V1C.bam.out	Gorilla_Sakura_V1C.bam.out	Gorilla_GON_VPFC.bam.out	Gorilla_Sakura_VPFC.bam.out	Normalize_type
TCONS_00001277	436.6913265	467.6004352	313.7800577	346.3519085	600.0143475	612.1078818	298.725768	397.670004	500.8663468	596.7301469	387.1938583	487.3336019	492.3118185	501.6446364	570.3066592	626.9659376	Counts
TCONS_00001279	8.291607466	0	2.798038731	1.446145756	3.076996654	0	0.718090788	0	1.282628289	0	0.619510173	9.663839131	9.640570859	0	3.077194204	0	Counts
TCONS_00001286	0.921289718	0	1.199159456	0	0	0	2.154272365	1.517824443	1.923942433	0	0	2.761096895	1.285409448	0	1.538597102	0	Counts
TCONS_00001312	0	0	3.997198188	0	0	0	0	0	2.565256578	0	0.619510173	0	0	0	0	0	Counts
TCONS_00001322	0.921289718	0	3.19775855	2.169218634	0	0	1.436181577	1.517824443	1.923942433	1.390979363	0.619510173	0	0.642704724	0	0.512865701	0	Counts
TCONS_00001323	28.55998127	2.562194166	29.17954677	0.723072878	28.46221905	0	34.46835784	0	21.80468091	0	27.8779578	5.522193789	18.63843699	0	24.10468793	0	Counts
TCONS_00001324	17.50450465	0	28.38010713	0	12.30798661	5.957254324	18.6703605	0	8.337083877	0	14.24873399	0	12.85409448	0	14.36023962	0	Counts
TCONS_00001352	31.32385043	26.90303874	29.57926659	11.56916605	48.46269729	29.78627162	21.54272365	3.035648886	28.21782235	9.736855544	6.195101733	19.32767826	26.35089368	21.15368949	29.74621064	20.60451438	Counts
TCONS_00001353	3.685158874	1.281097083	6.3955171	3.615364389	2.30774749	1.489313581	5.744726307	0	8.337083877	2.781958727	2.478040693	0	8.355161411	3.021955641	1.538597102	2.943502054	Counts
TCONS_00001354	7.370317747	10.24877666	11.19215493	5.784583023	6.923242471	13.40382223	14.36181577	7.589122214	8.337083877	6.954896817	4.956081387	1.380548447	10.92598031	9.065866923	4.615791306	4.415253081	Counts
TCONS_00001368	4.606448592	7.686582497	0	5.784583023	7.692491634	14.89313581	0	16.69606887	9.619712166	8.345876181	0.619510173	26.2304205	1.285409448	6.043911282	5.641522708	13.24575924	Counts
TCONS_00001370	2.763869155	0	0	0	1.538498327	0	0	1.517824443	3.206570722	0	0.619510173	0	1.928114172	0	0.512865701	0	Counts
TCONS_00001379	4.606448592	0	15.58907293	0	6.153993307	0	3.590453942	0	4.489199011	0	3.097550867	0	2.570818896	0	5.641522708	0	Counts
