Ids	Chimpanzee_GENKI_DPFC.bam.out	Chimpanzee_IYO_DPFC.bam.out	Chimpanzee_KENNY_DPFC.bam.out	Chimpanzee_MAYUMI_DPFC.bam.out	Chimpanzee_REIKO_DPFC.bam.out	Chimpanzee_YOSHIO_DPFC.bam.out	Chimpanzee_GENKI_PMC.bam.out	Chimpanzee_KENNY_PMC.bam.out	Chimpanzee_MAYUMI_PMC.bam.out	Chimpanzee_REIKO_PMC.bam.out	Chimpanzee_YOSHIO_PMC.bam.out	Chimpanzee_GENKI_STR.bam.out	Chimpanzee_IYO_STR.bam.out	Chimpanzee_KENNY_STR.bam.out	Chimpanzee_MAYUMI_STR.bam.out	Chimpanzee_REIKO_STR.bam.out	Chimpanzee_YOSHIO_STR.bam.out	Chimpanzee_GENKI_V1C.bam.out	Chimpanzee_IYO_V1C.bam.out	Chimpanzee_KENNY_V1C.bam.out	Chimpanzee_MAYUMI_V1C.bam.out	Chimpanzee_REIKO_V1C.bam.out	Chimpanzee_GENKI_VPFC.bam.out	Chimpanzee_IYO_VPFC.bam.out	Chimpanzee_KENNY_VPFC.bam.out	Chimpanzee_MAYUMI_VPFC.bam.out	Chimpanzee_REIKO_VPFC.bam.out	Chimpanzee_YOSHIO_VPFC.bam.out	Chimpanzee_IYO_ACC.bam.out	Chimpanzee_KENNY_ACC.bam.out	Chimpanzee_MAYUMI_ACC.bam.out	Chimpanzee_REIKO_ACC.bam.out	Chimpanzee_YOSHIO_ACC.bam.out	Chimpanzee_IYO_CB.bam.out	Chimpanzee_KENNY_CB.bam.out	Chimpanzee_MAYUMI_CB.bam.out	Chimpanzee_REIKO_CB.bam.out	Chimpanzee_YOSHIO_CB.bam.out	Chimpanzee_IYO_HIP.bam.out	Chimpanzee_KENNY_HIP.bam.out	Chimpanzee_MAYUMI_HIP.bam.out	Chimpanzee_REIKO_HIP.bam.out	Chimpanzee_YOSHIO_HIP.bam.out
TCONS_00047017	0	0	0	1.114924058	0	0	0	0	0	0.757598441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.489295314	0	0	0	0	1.991899141	0.850948372	0	0	0	0	0.493849623	0	0	0	0	0.960529067	0	1.011348488
TCONS_00047018	0.823409579	0	0	0	0.835867893	1.013707358	0	0	0.941545112	1.515196883	0	0	1.460068447	1.007607158	0	0.639857496	0	10.9874955	2.133827563	3.346908579	0	0.790950877	1.694973851	0	0.489295314	0	0	0	0	0	0.850948372	0	0.707219143	0.639329852	3.493650135	2.469248117	0	1.77147015	0	0.814082004	0	0	0
TCONS_00047033	0	0	0	0	0	2.027414716	0	0	0.941545112	1.515196883	0	0	2.920136894	2.015214316	4.062175517	0	0	0	1.066913781	0	1.905627346	0.790950877	0	0	0.489295314	0.884589704	0	0	0	0.66396638	0	0	0	0	0	2.469248117	2.684232432	0	0	0	0	0	1.011348488
TCONS_00047059	2.470228737	0	5.999913198	0	0	2.027414716	1.382424197	3.806073686	0	1.515196883	0	5.245751337	0	10.57987516	1.015543879	4.47900247	0.8105132	0	1.066913781	0	0.952813673	0	0	1.958309127	0.978590628	2.653769112	1.461552003	5.479846208	0	2.655865521	1.701896745	2.844370354	1.414438286	0	0.998185753	0	1.789488288	0	0	6.512656031	1.921058135	2.934666761	0
TCONS_00047071	18.11501074	13.2141809	13.49980469	21.18355709	44.30099835	30.41122074	27.64848393	22.83644212	15.06472179	27.27354389	51.93817261	29.72592424	13.87065025	35.26625054	13.20207043	41.59073722	104.5562028	31.13123726	8.535310252	11.71418002	4.764068366	24.51947717	22.03466006	9.791545637	22.50758445	12.38425585	14.61552003	45.20873121	21.27729466	12.61536122	13.61517396	15.16997522	42.43314859	31.9664926	60.39023804	33.58177439	80.52697296	89.75448762	10.93067424	31.74919815	25.93428482	67.4973355	47.53337895
TCONS_00047076	20.58523947	233.4505292	230.9966581	656.6902699	499.0131324	110.494102	40.0903017	115.133729	482.0710972	462.1350493	70.69362383	27.97734046	198.5693088	349.6396839	495.585413	602.7457609	49.4413052	67.75622228	192.0444807	152.2843403	426.8605256	185.873456	47.45926782	295.0519085	360.6106465	826.2067834	236.7714244	179.4649633	869.5321084	418.2988196	1016.883305	506.2979229	320.3702718	0.639329852	0.998185753	0.493849623	1.789488288	0	112.9503005	106.6447425	31.69745922	181.9493392	107.2029398
TCONS_00047078	0	0	0	0	0	0	0	0	0	0	0	0	2.190102671	3.526625054	4.062175517	1.919572487	0.8105132	0	0	0	0	0	0	0	0	0	0	0	1.418486311	0	0	0	0	0	0	0	4.47372072	0	0	1.628164008	0	0	0
TCONS_00047086	0.823409579	1.468242322	0	2.229848115	0.835867893	2.027414716	0	0	1.883090223	3.787992207	1.442727017	0	0.730034224	1.007607158	0	0	2.4315396	0	0	0	2.858441019	1.581901753	0	1.305539418	0.489295314	2.653769112	0	1.369961552	0	0	1.701896745	1.896246902	0	1.917989556	0.499092876	0	0	2.3619602	0.91088952	0	1.921058135	0	1.011348488
TCONS_00047101	0.823409579	1.468242322	1.499978299	2.229848115	0	3.041122074	0	0	0.941545112	1.515196883	1.442727017	0	0.730034224	2.015214316	1.015543879	1.919572487	1.6210264	1.831249251	0	0	2.858441019	0	3.389947701	0.652769709	0.489295314	0.884589704	0	4.109884656	1.418486311	2.655865521	2.552845117	0.948123451	0.707219143	0.639329852	0	5.432345858	1.789488288	1.77147015	0.91088952	4.884492023	0	2.934666761	1.011348488
TCONS_00047168	0.823409579	1.468242322	4.499934898	0	0	0	4.14727259	3.806073686	0.941545112	0.757598441	1.442727017	5.245751337	0.730034224	1.511410737	0	3.199287478	0	3.662498502	2.133827563	1.673454289	1.905627346	1.581901753	1.694973851	5.874927382	0	0.884589704	4.384656008	0	2.836972621	3.983798281	0.850948372	0.948123451	0.707219143	3.835979113	2.994557258	6.420045105	2.684232432	8.266860702	0	5.698574027	0	5.869333522	0
TCONS_00047170	3.293638316	2.936484644	0	1.114924058	1.671735787	0	1.382424197	1.903036843	0	4.545590649	0	1.748583779	0.730034224	0.503803579	0	1.279714991	1.6210264	0	3.200741344	3.346908579	0.952813673	0	0	0.652769709	1.467885942	0	1.461552003	0	0	0	0	0.948123451	1.414438286	1.917989556	1.497278629	0.493849623	1.789488288	2.3619602	0	0	0	0	0
TCONS_00047191	0	2.936484644	0	1.114924058	0	0	0	1.903036843	3.766180447	0.757598441	1.442727017	0	6.570308012	2.519017896	1.015543879	3.199287478	1.6210264	0	0	0	0	0	0	0.652769709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.814082004	0	0	0
TCONS_00047209	1.646819158	1.468242322	5.999913198	8.91939246	11.70215051	7.095951506	4.14727259	3.806073686	21.65553757	10.60637818	1.442727017	1.748583779	0.730034224	3.526625054	4.062175517	7.678289948	0.8105132	7.324997003	13.86987916	6.693817157	23.82034183	33.21993682	23.72963391	11.74985476	22.01828913	11.49966615	13.15396802	6.84980776	7.092431553	9.959495704	13.61517396	6.636864158	4.950534002	2.557319408	18.46643643	8.395443599	12.52641802	1.1809801	0	0	3.842116269	2.934666761	4.045393953
TCONS_00047233	0	0	0	3.344772173	1.671735787	0	0	0.951518422	0	2.272795324	0	0	0	0	1.015543879	0.639857496	0	0	0	0	1.905627346	0	1.694973851	0	6.360839083	1.769179408	1.461552003	1.369961552	0	1.32793276	0.850948372	0	0	0.639329852	0.998185753	1.48154887	0	1.77147015	0.91088952	0	0.960529067	2.934666761	4.045393953
TCONS_00047234	0	0	0	0	0	1.013707358	2.764848393	0	0.941545112	0	0	0	1.460068447	1.007607158	0	1.279714991	0	0	1.066913781	0	1.905627346	0	0	0.652769709	1.467885942	0.884589704	0	0	0	0	0.850948372	0	0	3.19664926	0.499092876	0.987699247	0	0.59049005	0	0	0	0	0
TCONS_00047235	2.470228737	2.936484644	5.999913198	6.689544345	8.358678935	13.17819565	1.382424197	6.660628951	3.766180447	6.060787532	11.54181614	12.24008645	2.190102671	2.015214316	0	3.839144974	5.6735924	1.831249251	2.133827563	0	8.575323058	3.954754383	16.94973851	5.222157673	4.403657826	10.61507645	0	1.369961552	1.418486311	1.32793276	16.16801907	0	9.901068004	13.42592689	2.994557258	11.85239096	0.894744144	9.447840802	0	3.256328015	3.842116269	0	4.045393953
TCONS_00047240	0	0	0	0	0	0	2.764848393	0	6.590815782	3.787992207	0	1.748583779	0.730034224	0	2.031087758	0	0	0	0	0	5.716882039	0.790950877	1.694973851	0.652769709	1.467885942	4.422948519	0	2.739923104	0	0	5.105690234	0	4.950534002	0.639329852	0	0.493849623	0	2.3619602	0	0	0.960529067	0	0
TCONS_00047243	0	0	0	0	0	2.027414716	0	0	0	0	0	1.748583779	0	0	0	0	0	0	0	0	1.905627346	0	0	0	1.467885942	1.769179408	0	1.369961552	0	0	1.701896745	0	1.414438286	0	0.499092876	0.493849623	0	0	0	0	0	0	1.011348488
