Ids	Human_Hs1_ACC.bam.out	Human_Hs2_ACC.bam.out	Human_Hs5_ACC.bam.out	Human_Hs6_ACC.bam.out	Human_Hs8_ACC.bam.out	Human_Hs1_CB.bam.out	Human_Hs2_CB.bam.out	Human_Hs3_CB.bam.out	Human_Hs6_CB.bam.out	Human_Hs8_CB.bam.out	Human_Hs1_DPFC.bam.out	Human_Hs2_DPFC.bam.out	Human_Hs3_DPFC.bam.out	Human_Hs5_DPFC.bam.out	Human_Hs6_DPFC.bam.out	Human_Hs8_DPFC.bam.out	Human_Hs1_PMC.bam.out	Human_Hs2_PMC.bam.out	Human_Hs3_PMC.bam.out	Human_Hs5_PMC.bam.out	Human_Hs6_PMC.bam.out	Human_Hs8_PMC.bam.out	Human_Hs1_STR.bam.out	Human_Hs2_STR.bam.out	Human_Hs5_STR.bam.out	Human_Hs8_STR.bam.out	Human_Hs6_STR.bam.out	Human_Hs1_V1C.bam.out	Human_Hs2_V1C.bam.out	Human_Hs5_V1C.bam.out	Human_Hs8_V1C.bam.out	Human_Hs6_V1C.bam.out	Human_Hs4_HIP.bam.out	Human_Hs6_HIP.bam.out	Human_Hs7_HIP.bam.out	Human_Hs9_HIP.bam.out	Human_Hs6_VPFC.bam.out	Human_Hs5_VPFC.bam.out	Human_Hs2_VPFC.bam.out	Human_Hs8_VPFC.bam.out
TCONS_00000455	78.54777829	105.0005227	89.5277264	19.48416039	49.21360004	68.66328411	36.44568044	47.61842961	49.602486	88.51919269	67.91313937	119.5223802	39.98570327	93.7502364	48.86604278	144.6670318	71.39798845	9.497194387	47.67566394	106.1699575	71.35239857	142.9301674	35.12490357	74.47167879	70.73507394	63.83754473	43.2037734	31.74528378	52.59542192	26.29262979	114.4312621	40.21284528	89.84159037	39.07080654	100.8606848	144.8858326	39.30506535	61.12429033	60.35980751	62.82065404
TCONS_00000456	218.1103486	430.5021432	231.4931211	132.4127635	409.6699679	214.3321205	203.4883825	206.3465283	184.1492293	317.6574458	238.1611463	354.9176024	176.6035228	306.4523857	222.2925868	424.297819	221.4960324	218.4354709	120.3242947	314.751644	192.6514761	409.7048717	210.7494214	241.8139217	229.0469061	295.8624669	135.2118093	134.6769615	214.4274894	178.4142736	349.7710276	146.8236444	218.8867838	115.0418192	267.4196138	359.2490821	138.6595361	305.6214517	333.6872378	335.3514326
TCONS_00000468	93.97680616	106.050528	80.57495376	73.16501044	190.2039137	77.64726521	63.77994077	60.31667751	93.62469232	136.5724687	89.31042986	104.9242269	166.607097	128.0245164	73.77814302	226.1157469	130.6258652	37.3952029	197.5134649	154.087372	49.946679	207.8213117	108.301786	80.60464057	99.3659372	163.2767971	132.5449097	104.8556343	57.98982417	80.75593436	192.1581571	84.16642035	141.2963194	123.7242207	81.42880974	167.762543	67.69205699	76.40536292	58.08207893	176.4521312
TCONS_00000476	65.9240282	80.85040251	60.11147344	67.9957434	45.22330814	94.97351447	123.0041715	98.4114212	65.72329395	69.80370624	73.49504124	37.40776786	63.31069685	40.32268232	79.52708923	39.98926083	111.1536866	78.94542834	104.4324067	31.00538582	117.7314576	37.32301108	107.3260942	80.60464057	82.52425293	109.2604131	94.14155561	70.22441562	48.54962023	41.31698968	29.14758563	51.43503466	53.08821249	56.43560944	76.80217283	48.29527754	109.1807371	58.06807582	46.693436	60.97298775
TCONS_00000493	4.909236143	1.050005227	5.11587008	4.373995189	0	14.11768458	1.518570018	1.587280987	2.4801243	1.517471875	2.790950933	0	3.332141939	1.008067058	1.916315403	2.646348143	1.622681556	1.780723947	2.270269711	0	3.567619928	1.696500504	11.70830119	6.132961782	8.420842136	0	13.86787788	5.771869777	0	0	0	2.805547345	1.633483461	1.085300182	5.551964301	0.847285571	4.367229483	3.056214517	3.416592878	0.923833148
TCONS_00000500	0.701319449	2.100010455	1.27896752	0	1.330097298	4.491990549	9.11142011	0	8.68043505	27.8203177	1.860633955	0.912384582	0	2.016134116	0	6.174812334	0	2.967873246	0	5.637342877	3.567619928	9.330752771	3.902767063	0.876137397	0	0	0	0	2.697201124	3.75608997	11.87494229	2.805547345	0	0	0	1.694571142	0	3.056214517	6.833185756	6.466832034
TCONS_00000519	45.58576418	13.65006796	23.02141536	33.40141781	9.310681089	5.775416421	0	4.761842961	3.100155375	2.023295833	24.18824142	1.824769164	0	7.056469407	37.36815036	13.81981808	5.679385445	4.155022544	2.270269711	5.637342877	32.10857936	21.2062563	18.53814355	5.256824385	10.10501056	1.227645091	12.00104817	63.49056755	12.13740506	31.92676475	16.19310313	32.73138569	4.083708653	8.682401453	4.626636917	3.389142284	25.11156953	7.640536292	3.416592878	11.08599777
TCONS_00000549	44.18312529	15.75007841	39.64799312	53.28321412	6.650486492	92.40666273	22.77855028	134.9188839	59.5229832	44.51250832	38.14299609	43.79445993	86.63569042	50.40335291	39.28446576	34.69656454	28.39692723	14.24579158	36.32431538	33.82405726	32.10857936	25.44750756	37.0762871	14.89433576	20.21002113	20.86996655	43.47046336	68.30045903	45.85241911	46.95112463	55.05655064	43.01839262	31.85292749	19.53540327	38.86375011	23.72399598	27.29518427	41.25889597	14.8052358	23.09582869
TCONS_00000555	315.593752	392.701955	359.3898731	362.2463289	281.9806273	213.0486946	317.3811338	219.0447762	240.5720571	214.9751823	293.049848	463.4913676	213.2570841	416.331695	425.4220195	263.4586596	313.988881	325.2789077	199.7837346	376.7624156	460.2229708	279.0743329	230.2632567	304.8958143	267.7827799	273.7648553	313.3607021	281.8596408	381.6539591	279.8287028	275.2827532	360.0452426	296.4772482	301.7134505	194.3187505	302.4809488	410.5195714	435.5105686	476.0452743	283.6167763
TCONS_00000592	0	0	1.27896752	0.397635926	0	0.641712936	0	3.174561974	1.24006215	0.505823958	0	0	0	0	0.958157702	0	1.622681556	2.967873246	2.270269711	0	0	0	0	0.876137397	0	0	2.400209633	2.885934889	0	3.75608997	0	0.935182448	0.816741731	1.085300182	0.925327383	0	0	0	0	0
