Ids	Gorilla_GON_ACC.bam.out	Gorilla_Sakura_ACC.bam.out	Gorilla_GON_CB.bam.out	Gorilla_Sakura_CB.bam.out	Gorilla_GON_DPFC.bam.out	Gorilla_Sakura_DPFC.bam.out	Gorilla_GON_HIP.bam.out	Gorilla_Sakura_HIP.bam.out	Gorilla_GON_PMC.bam.out	Gorilla_Sakura_PMC.bam.out	Gorilla_GON_STR.bam.out	Gorilla_Sakura_STR.bam.out	Gorilla_GON_V1C.bam.out	Gorilla_Sakura_V1C.bam.out	Gorilla_GON_VPFC.bam.out	Gorilla_Sakura_VPFC.bam.out
TCONS_00021700	11.05547662	10.24877666	7.594676557	13.73838468	16.15423243	4.467940743	27.28744996	15.17824443	25.01125163	11.12783491	18.5853052	6.902742236	6.427047239	12.08782256	8.205851211	10.30225719
TCONS_00021719	3.685158874	0	0.799439638	3.615364389	2.30774749	0	3.590453942	0	3.206570722	0	2.478040693	1.380548447	0.642704724	0	3.077194204	0
TCONS_00021829	2.763869155	0	0.799439638	0	0.769249163	0	0.718090788	0	0	0	1.239020347	0	1.928114172	0	4.102925606	0
TCONS_00021837	0	0	4.796637825	1.446145756	4.61549498	1.489313581	2.872363153	0	3.206570722	0	0.619510173	0	0	0	4.615791306	0
TCONS_00021874	12.89805606	0	15.58907293	2.169218634	10.76948829	0	22.26081444	0	24.36993749	2.781958727	53.27787491	2.761096895	16.71032282	0	20.00176233	2.943502054
TCONS_00021879	1.842579437	5.124388331	4.796637825	5.061510145	6.153993307	1.489313581	2.154272365	1.517824443	8.978398021	1.390979363	5.57559156	0	1.928114172	3.021955641	3.590059905	1.471751027
TCONS_00021931	34.08771958	25.62194166	37.97338278	32.5382795	23.0774749	35.74352594	20.82463286	13.66041999	29.50045064	19.47371109	94.16554635	11.04438758	53.34449209	54.39520154	34.87486765	19.13276335
TCONS_00021932	49.74964479	0	10.39271529	1.446145756	38.46245817	0	42.36735651	0	23.72862334	0	76.81926149	0	43.0612165	0	31.28480774	2.943502054
TCONS_00022005	6.449028029	0	5.596077463	9.399947412	6.923242471	0	6.462817095	0	2.565256578	1.390979363	4.336571213	0	5.141637792	0	2.564328504	1.471751027
TCONS_00022040	0.921289718	0	1.998599094	0	0.769249163	0	3.590453942	0	0	0	1.85853052	0	0	0	2.051462803	0
TCONS_00022068	24.8748224	10.24877666	13.59047384	20.96911346	30.76996654	4.467940743	27.28744996	9.106946657	16.67416775	5.563917454	27.8779578	6.902742236	21.85196061	18.13173385	26.66901644	14.71751027
TCONS_00022152	4.606448592	0	3.19775855	0.723072878	5.384744144	0	6.462817095	0	7.695769733	0	5.57559156	0	2.570818896	0	3.077194204	0
TCONS_00022170	2.763869155	0	8.394116194	2.892291511	6.923242471	0	7.180907883	0	2.565256578	1.390979363	3.71706104	9.663839131	3.21352362	3.021955641	4.102925606	0
TCONS_00022171	3.685158874	2.562194166	3.597478369	7.953801656	0.769249163	8.935881486	2.154272365	4.553473328	1.923942433	1.390979363	4.336571213	11.04438758	1.285409448	3.021955641	2.564328504	8.830506163
TCONS_00022236	1.842579437	0	1.998599094	0	1.538498327	0	2.872363153	0	0.641314144	0	5.57559156	0	1.928114172	0	2.564328504	0
TCONS_00022237	5.52773831	2.562194166	2.798038731	0	3.076996654	2.978627162	5.026635518	1.517824443	3.847884866	2.781958727	3.71706104	0	1.928114172	0	2.051462803	1.471751027
TCONS_00022239	4.606448592	0	3.997198188	0.723072878	4.61549498	0	6.462817095	0	1.923942433	0	5.57559156	0	6.427047239	0	5.128657007	0
TCONS_00022241	4.606448592	0	3.19775855	0	0.769249163	0	7.898998672	0	0.641314144	0	3.71706104	0	3.856228344	0	5.641522708	0
TCONS_00022260	0.921289718	0	0.399719819	0	0.769249163	0	2.872363153	0	1.282628289	0	6.195101733	0	2.570818896	0	1.538597102	0
TCONS_00022297	0.921289718	0	2.398318913	0	2.30774749	0	0.718090788	3.035648886	2.565256578	0	2.478040693	0	0.642704724	0	2.051462803	0
TCONS_00022313	7.370317747	0	7.194956738	0	10.76948829	2.978627162	2.154272365	0	12.18496874	0	13.00971364	0	12.21138975	0	13.33450822	0
TCONS_00022381	7.370317747	0	0	0	2.30774749	7.446567905	1.436181577	0	4.489199011	0	0.619510173	2.761096895	3.21352362	0	4.615791306	0
