LncRNAs	LncRNA1_id	Region	Organism
TCONS_00009634	pan_TCONS_00009634	ACC vs CB	Chimp
TCONS_00009673	pan_TCONS_00009673	ACC vs CB	Chimp
TCONS_00009801	pan_TCONS_00009801	ACC vs CB	Chimp
TCONS_00009848	pan_TCONS_00009848	ACC vs CB	Chimp
TCONS_00009849	pan_TCONS_00009849	ACC vs CB	Chimp
TCONS_00009850	pan_TCONS_00009850	ACC vs CB	Chimp
TCONS_00009856	pan_TCONS_00009856	ACC vs CB	Chimp
TCONS_00009863	pan_TCONS_00009863	ACC vs CB	Chimp
TCONS_00009871	pan_TCONS_00009871	ACC vs CB	Chimp
TCONS_00009950	pan_TCONS_00009950	ACC vs CB	Chimp
TCONS_00010141	pan_TCONS_00010141	ACC vs CB	Chimp
TCONS_00010283	pan_TCONS_00010283	ACC vs CB	Chimp
TCONS_00010288	pan_TCONS_00010288	ACC vs CB	Chimp
TCONS_00010329	pan_TCONS_00010329	ACC vs CB	Chimp
TCONS_00010353	pan_TCONS_00010353	ACC vs CB	Chimp
TCONS_00010384	pan_TCONS_00010384	ACC vs CB	Chimp
TCONS_00010739	pan_TCONS_00010739	ACC vs CB	Chimp
TCONS_00010771	pan_TCONS_00010771	ACC vs CB	Chimp
TCONS_00010921	pan_TCONS_00010921	ACC vs CB	Chimp
TCONS_00010925	pan_TCONS_00010925	ACC vs CB	Chimp
TCONS_00010936	pan_TCONS_00010936	ACC vs CB	Chimp
TCONS_00010937	pan_TCONS_00010937	ACC vs CB	Chimp
TCONS_00010938	pan_TCONS_00010938	ACC vs CB	Chimp
TCONS_00010942	pan_TCONS_00010942	ACC vs CB	Chimp
TCONS_00010998	pan_TCONS_00010998	ACC vs CB	Chimp
TCONS_00011032	pan_TCONS_00011032	ACC vs CB	Chimp
TCONS_00011143	pan_TCONS_00011143	ACC vs CB	Chimp
TCONS_00011158	pan_TCONS_00011158	ACC vs CB	Chimp
TCONS_00011208	pan_TCONS_00011208	ACC vs CB	Chimp
TCONS_00011288	pan_TCONS_00011288	ACC vs CB	Chimp
TCONS_00011297	pan_TCONS_00011297	ACC vs CB	Chimp
TCONS_00011302	pan_TCONS_00011302	ACC vs CB	Chimp
TCONS_00011309	pan_TCONS_00011309	ACC vs CB	Chimp
TCONS_00011475	pan_TCONS_00011475	ACC vs CB	Chimp
TCONS_00011624	pan_TCONS_00011624	ACC vs CB	Chimp
TCONS_00011654	pan_TCONS_00011654	ACC vs CB	Chimp
TCONS_00011660	pan_TCONS_00011660	ACC vs CB	Chimp
TCONS_00011678	pan_TCONS_00011678	ACC vs CB	Chimp
TCONS_00011711	pan_TCONS_00011711	ACC vs CB	Chimp
TCONS_00011717	pan_TCONS_00011717	ACC vs CB	Chimp
TCONS_00011815	pan_TCONS_00011815	ACC vs CB	Chimp
TCONS_00011869	pan_TCONS_00011869	ACC vs CB	Chimp
TCONS_00012006	pan_TCONS_00012006	ACC vs CB	Chimp
TCONS_00012070	pan_TCONS_00012070	ACC vs CB	Chimp
TCONS_00012107	pan_TCONS_00012107	ACC vs CB	Chimp
TCONS_00012137	pan_TCONS_00012137	ACC vs CB	Chimp
TCONS_00012144	pan_TCONS_00012144	ACC vs CB	Chimp
TCONS_00012176	pan_TCONS_00012176	ACC vs CB	Chimp
TCONS_00012206	pan_TCONS_00012206	ACC vs CB	Chimp
TCONS_00012242	pan_TCONS_00012242	ACC vs CB	Chimp
TCONS_00012353	pan_TCONS_00012353	ACC vs CB	Chimp
TCONS_00012388	pan_TCONS_00012388	ACC vs CB	Chimp
TCONS_00012402	pan_TCONS_00012402	ACC vs CB	Chimp
TCONS_00012538	pan_TCONS_00012538	ACC vs CB	Chimp
TCONS_00012665	pan_TCONS_00012665	ACC vs CB	Chimp
TCONS_00012673	pan_TCONS_00012673	ACC vs CB	Chimp
TCONS_00012824	pan_TCONS_00012824	ACC vs CB	Chimp
TCONS_00012902	pan_TCONS_00012902	ACC vs CB	Chimp
